ax,ay,az,gx,gy,gz,mx,my,mz,acc_mag,rms_acc,acc_var,classification
1.5,0.18,2.05,134.83,27.89,-96.8,67.0,-2.0,-17.0,2.5465466812921376,1.2427501760209088,0.15912893026822303,Normal
0.59,-0.07,1.21,38.51,95.03,153.14,64.0,-1.0,-2.0,1.3479985163196582,1.2460068218111808,0.15910288550064813,Normal
0.02,-0.18,1.45,34.18,127.08,91.86,48.0,-19.0,10.0,1.4612665739008746,1.2505190922173082,0.15955915213141622,Normal
-0.07,0.88,0.96,-654.3,-304.26,-36.93,42.0,-31.0,9.0,1.3041855696180662,1.2534404652794644,0.15928220315421796,Normal
-0.31,0.88,-0.31,156.37,-205.32,118.41,71.0,-18.0,4.0,0.9831581764904364,1.253354299470026,0.1593263859357368,Normal
-0.54,1.27,1.71,-10.19,101.56,-21.67,55.0,-4.0,-8.0,2.1974075634711006,1.2684585133144874,0.16913656197617952,Normal
0.29,-0.12,1.65,43.88,178.47,77.21,56.0,-6.0,-9.0,1.6795832816505407,1.2755857478037294,0.17101644522468437,Normal
0.65,0.69,0.26,-181.09,95.09,-53.04,50.0,-20.0,8.0,0.9829547293746543,1.2753975850690638,0.17111987658010372,Normal
0.56,0.71,1.41,54.26,-40.34,16.85,61.0,-22.0,14.0,1.6750522379914006,1.2821930431881152,0.17298448171873343,Normal
0.37,-0.85,-0.23,229.13,-29.17,-27.89,60.0,-20.0,9.0,0.9551439682058406,1.2814066489604303,0.17340540448818978,Normal
0.04,0.05,0.24,30.03,-50.9,-12.7,53.0,-19.0,7.0,0.2483948469674844,1.276936568510746,0.18258988647243388,Normal
0.4,-0.28,0.71,37.23,48.34,46.26,58.0,-13.0,8.0,0.8616843969807043,1.2751117598077433,0.18365721875986407,Normal
0.48,-0.46,0.97,277.16,72.63,147.34,53.0,-18.0,17.0,1.175967686630887,1.2763228431709588,0.18338556545384957,Normal
0.52,0.63,1.71,200.74,355.96,133.06,5.0,-53.0,-9.0,1.895098942008042,1.2869654230009444,0.18737050404308472,Normal
0.36,-0.83,-0.35,-371.46,-371.89,85.08,20.0,-41.0,4.0,0.970051545022222,1.2871647136244841,0.1872317037353379,Normal
0.52,-1.86,1.38,-338.75,-107.48,-126.95,50.0,-14.0,2.0,2.3736891119099823,1.3048306403514596,0.20030772371067446,Normal
-0.52,1.53,1.42,-202.51,-237.12,-189.09,54.0,-10.0,-1.0,2.151208962420899,1.3188142401414993,0.20818887498366032,Normal
0.28,-0.01,1.19,-120.79,-215.03,-95.89,60.0,0.0,-13.0,1.2225383429569805,1.3207891580415096,0.20754605534300985,Normal
-0.32,0.27,0.97,126.83,-107.06,72.57,54.0,7.0,-10.0,1.0565036677645754,1.3212460028321749,0.20729234960466622,Normal
-0.72,0.01,2.59,-277.16,18.92,-343.57,55.0,20.0,-12.0,2.688233620800097,1.3445411856838003,0.2276112218361088,Normal
-0.69,1.79,0.48,85.02,149.72,320.68,66.0,-2.0,-9.0,1.9775237040298657,1.355589908490027,0.23185831377452246,Normal
-0.63,1.79,0.2,162.78,159.73,58.04,47.0,-12.0,5.0,1.9081404560461475,1.365147977327,0.2352949882001756,Normal
0.42,0.29,1.2,233.03,163.88,230.29,44.0,-17.0,6.0,1.3040322081911935,1.3677518049704778,0.23448629294984566,Normal
0.57,1.95,2.17,161.8,14.34,-88.93,37.0,-21.0,15.0,2.972591462007519,1.396339142185737,0.2620231706278612,Normal
